"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"102","1985","愛宕神社本殿","","国宝・重要文化財(建造物)","重要文化財","近世以前／神社","","鎌倉後期","19770128","","京都府","京都府亀岡市千歳町国分","","愛宕神社","","35.04093000000000","135.58700000000000"
"102","1988","荒見神社本殿","","国宝・重要文化財(建造物)","重要文化財","近世以前／神社","","桃山","19060414","","京都府","京都府城陽市富野荒見田","","荒見神社","","34.84096000000000","135.78400000000000"
"102","1808","安養寺宝塔","","国宝・重要文化財(建造物)","重要文化財","近世以前／その他","","鎌倉後期","19600209","","京都府","京都府京都市東山区八坂鳥居前東入円山町","","安養寺","","35.00375699000000","135.78426013000000"
"102","1927","安楽寿院五輪塔","","国宝・重要文化財(建造物)","重要文化財","近世以前／その他","","鎌倉後期","19550202","","京都府","京都府京都市伏見区竹田内畑町","","安楽寿院","","34.95329000000000","135.75380000000000"
"102","1891","為因寺宝篋印塔","","国宝・重要文化財(建造物)","重要文化財","近世以前／その他","","鎌倉前期","19550202","","京都府","京都府京都市右京区梅ヶ畑奥殿町","","為因寺","","35.04725000000000","135.68130000000000"
"102","2000","伊佐家住宅（京都府八幡市上津屋）","長蔵","国宝・重要文化財(建造物)","重要文化財","近世以前／民家","","江戸末期","19801218","","京都府","京都府八幡市上津屋浜垣内65番地","","","","34.86473000000000","135.74650000000000"
"102","1999","伊佐家住宅（京都府八幡市上津屋）","主屋","国宝・重要文化財(建造物)","重要文化財","近世以前／民家","","江戸中期","19750623","","京都府","京都府八幡市上津屋浜垣内65番地","","","","34.86489000000000","135.74660000000000"
"102","2001","伊佐家住宅（京都府八幡市上津屋）","内蔵","国宝・重要文化財(建造物)","重要文化財","近世以前／民家","","江戸中期","19801218","","京都府","京都府八幡市上津屋浜垣内65番地","","","","34.86499000000000","135.74660000000000"
"102","2003","伊佐家住宅（京都府八幡市上津屋）","乾蔵","国宝・重要文化財(建造物)","重要文化財","近世以前／民家","","江戸末期","19801218","","京都府","京都府八幡市上津屋浜垣内65番地","","","","34.86508000000000","135.74640000000000"
"102","2002","伊佐家住宅（京都府八幡市上津屋）","東蔵","国宝・重要文化財(建造物)","重要文化財","近世以前／民家","","江戸中期","19801218","","京都府","京都府八幡市上津屋浜垣内65番地","","","","34.86509000000000","135.74660000000000"
"102","2049","石田家住宅（京都府北桑田郡美山町）","","国宝・重要文化財(建造物)","重要文化財","近世以前／民家","","江戸前期","19720515","","京都府","京都府南丹市美山町大字樫原字中岡9番地","","","南丹市","35.27502000000000","135.47520000000000"
"102","1940","石田神社境内社恵比須神社本殿","","国宝・重要文化財(建造物)","重要文化財","近世以前／神社","","鎌倉後期","19870603","","京都府","京都府綾部市安国寺町宮ノ腰","","石田神社","","35.34027000000000","135.31130000000000"
